inner_id,username,profile,follower_cnt,following_cnt
36431577088,study_jh01,"SEOYOUNG UNIVERSITY.  SYU 20TH📖
❤ @lim_juhee01 일상생활 계정
💭보건의료행정 재학중
💭Start 2020.06.03
💭20학번공부시작
💭내 자신을 위해 열심히💪
💭맞팔은 댓글로",101,56
38476070666,yoohee_the_journey,"하고 싶은 거 다하는 인스타그램🍇
https://m.blog.naver.com/laceblanc
Speaking : 🇰🇷🇺🇸
Learning : 🇪🇸
Wish list : 🇯🇵🇩🇪🇨🇳🇫🇷",38,22
40252965269,___o_o_o_20,"∂ινιѕισи σf αиιмαℓ & ∂αιяу ѕ¢ιєи¢є🐄🐖🐓
#대학생 #공스타그램 #20학번 
-
#다이어트 __->42까지",56,42
7622889541,isk_aster,"진또배기 문과생의 험난한 공대 라이프 ᵕ᷄≀ ̠˘᷅
20학번 공대생 @beatrxxe_ 
——————————————
📖맞팔은 공스타만, 팔로우 후 멘션/dm, 모든 연락은 dm
📖학점관리, 자격증, 개인공부 위주
#20학번 #공대생 #공스타그램",71,19
31981526894,stillinourtime7,"국어교육과 
새내기 기록장 ෆ⃛",21,35
29200930739,sun_castle_study,@sun_castle97,58,77
13944918893,lenaleelab,"함께 꿈꾸는 공간🌷| @lenaleelife 
Self-Love & Personal Growth 
‘Keep shining your light✨’",429,1
36729593822,dongju_skinmaster,"Skin-Master Official instagram ♥
⠀
» 부산 ·경남 최초 3년제 피부미용 전공 특화 교육기관
» 의료미용/피부미용 코스제 전문화 교육",156,185
39633612679,garden._.study_,,15,5
40829975857,l.__._study,,16,12
36354949661,wowpass_official,"Knowledge, Value and Your Future
와우패스 공식인스타그램입니다 💙
와우패스 팔로우 꾸욱!👍
다양한 정보와 이벤트 소식 놓치지마세요 !😀",49,64
39907168060,stu.dying_0o0,"CAU 20
- 토익 및 학과 공부 위주",1,6
7567305949,woo.nie_,,0,0
38816745764,gonsta_kmle_2021,"국시공부 기록장
동기부여는 안됨주의",237,51
